Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
STORJ-USD,0.9414952,2021/05/29,19:22 BST,-0.116678715,1.0597078,1.1046096,0.9393695,25228186,,,,,,,
GLM-USD,0.27967498,2021/05/29,19:22 BST,-0.039071858,0.31362966,0.35599482,0.27967498,8004554,,,,,,,
VTHO-USD,0.007854207,2021/05/29,19:21 BST,-7.303506E-4,0.008463433,0.008988815,0.007843321,41469732,,,,,,,
KNC-USD,1.4469619,2021/05/29,19:21 BST,-0.18173134,1.6180879,1.681908,1.4416267,52640180,,,,,,,
SNT-USD,0.08570622,2021/05/29,19:21 BST,-0.005922772,0.09274073,0.09475228,0.08570622,20888858,,,,,,,
ERG-USD,9.881306,2021/05/29,19:21 BST,-0.75728416,10.899359,11.382589,9.870028,3441732,,,,,,,
MIR1-USD,4.648168,2021/05/29,19:22 BST,-0.23952436,5.1779947,5.2294097,4.645026,81237400,,,,,,,
RLC-USD,4.3881936,2021/05/29,19:22 BST,-0.42985106,4.7874365,5.1054316,4.3537045,39621000,,,,,,,
CKB-USD,0.013444673,2021/05/29,19:21 BST,-8.017868E-4,0.014531734,0.015334125,0.013431806,17053032,,,,,,,
XVG-USD,0.021813653,2021/05/29,19:21 BST,-0.0025729164,0.024290448,0.026077252,0.021709153,16737536,,,,,,,
LRC-USD,0.3088732,2021/05/29,19:21 BST,-0.045064688,0.35263565,0.3824366,0.3088732,48242872,,,,,,,
LSK-USD,3.1079526,2021/05/29,19:22 BST,-0.38653255,3.5131526,3.6111326,3.1079526,33292266,,,,,,,
QNT-USD,36.232777,2021/05/29,19:22 BST,-6.858719,41.672928,43.567272,36.198456,5430357,,,,,,,
AR-USD,13.113114,2021/05/29,19:22 BST,-0.6710739,14.624839,15.855768,13.113114,23046050,,,,,,,
VGX-USD,2.062535,2021/05/29,19:22 BST,-0.2781148,2.2460186,2.4249797,2.0567398,3309442,,,,,,,
IOST-USD,0.027926093,2021/05/29,19:22 BST,-0.0019119848,0.030126136,0.031480733,0.027773494,132302024,,,,,,,
BCD-USD,2.4805524,2021/05/29,19:22 BST,-0.18095803,2.6825116,2.790594,2.4793303,10660140,,,,,,,
CRV-USD,1.5024884,2021/05/29,19:22 BST,-0.08039749,1.5883147,1.6974165,1.4948545,138246096,,,,,,,
ICX-USD,0.96619964,2021/05/29,19:22 BST,-0.14181423,1.0789326,1.149112,0.9603355,48415992,,,,,,,
XDC-USD,0.049611963,2021/05/29,19:22 BST,-0.0027988553,0.04962763,0.052023064,0.047768515,4145548,,,,,,,
RVN-USD,0.07159215,2021/05/29,19:22 BST,-0.010316715,0.08149564,0.08434517,0.07124062,43559748,,,,,,,
ANKR-USD,0.09137687,2021/05/29,19:22 BST,-0.008647978,0.099898644,0.10467363,0.09105345,45801784,,,,,,,
ARRR-USD,3.7195115,2021/05/29,19:22 BST,-0.4392867,4.0582623,4.1642823,3.6381342,2037332,,,,,,,
CELO-USD,3.1093922,2021/05/29,19:22 BST,-0.32309127,3.4331803,3.520932,3.1044035,15351255,,,,,,,
UMA-USD,11.792896,2021/05/29,19:22 BST,-1.7301044,13.281323,13.812742,11.792896,19565318,,,,,,,
ZRX-USD,0.85607445,2021/05/29,19:22 BST,-0.1209231,0.96954167,1.00618,0.8532742,79905824,,,,,,,
SC-USD,0.015286001,2021/05/29,19:22 BST,-0.0014164848,0.016718598,0.017400514,0.015228867,53142052,,,,,,,
ONE2-USD,0.07867393,2021/05/29,19:21 BST,-0.014075719,0.09080612,0.09399962,0.07867393,84795888,,,,,,,
GRT2-USD,0.6089186,2021/05/29,19:22 BST,-0.04582399,0.65117526,0.69985545,0.60811204,112594664,,,,,,,
OMG-USD,5.5533853,2021/05/29,19:21 BST,-0.71678734,6.2777176,6.715806,5.530774,406648960,,,,,,,
DGB-USD,0.054245617,2021/05/29,19:22 BST,-0.0060150325,0.061586037,0.06477625,0.054245617,39624484,,,,,,,
BNT-USD,4.012676,2021/05/29,19:22 BST,-0.41583395,4.3605657,4.5475836,4.012676,84116832,,,,,,,
NANO-USD,6.31535,2021/05/29,19:22 BST,-0.7862439,6.96339,7.3434587,6.2233152,47710852,,,,,,,
ONT-USD,0.98194593,2021/05/29,19:22 BST,-0.114272416,1.093853,1.1326767,0.9748612,295750816,,,,,,,
XWC-USD,1.2435886,2021/05/29,19:22 BST,-0.03771007,1.281564,1.2891853,1.2420195,23601288,,,,,,,
BTG-USD,54.83621,2021/05/29,19:22 BST,-5.1752663,63.904472,63.904472,54.83621,54381844,,,,,,,
BAT-USD,0.66765237,2021/05/29,19:22 BST,-0.08287877,0.7489493,0.786047,0.6620912,251491680,,,,,,,
QTUM-USD,10.667131,2021/05/29,19:22 BST,-1.4257421,12.251178,12.861598,10.62278,574652736,,,,,,,
ENJ-USD,1.2583195,2021/05/29,19:22 BST,-0.17245138,1.4192003,1.4772825,1.2562749,212874016,,,,,,,
STX1-USD,0.92164856,2021/05/29,19:22 BST,-0.03977734,0.96469545,1.0445609,0.92045206,16393731,,,,,,,
ZIL-USD,0.09532661,2021/05/29,19:22 BST,-0.0124863535,0.11182443,0.115006,0.09465161,123650976,,,,,,,
MANA-USD,0.70658785,2021/05/29,19:21 BST,-0.10737866,0.8133556,0.8421879,0.7049769,103917376,,,,,,,
TUSD-USD,1.000132,2021/05/29,19:22 BST,-1.988411E-4,1.0002975,1.0008146,0.9995859,129256568,,,,,,,
ZEN-USD,109.41858,2021/05/29,19:22 BST,12.308945,98.82566,118.7851,97.58125,269614976,,,,,,,
SNX-USD,10.648077,2021/05/29,19:22 BST,-1.247323,11.952027,12.50282,10.645673,95860720,,,,,,,
SUSHI-USD,9.889855,2021/05/29,19:22 BST,-0.93245316,10.5696,11.2905,9.871616,416199360,,,,,,,
DFI-USD,3.0238268,2021/05/29,19:22 BST,-0.046507835,3.0706573,3.1726983,2.998331,1986633,,,,,,,
WAVES-USD,12.462372,2021/05/29,19:22 BST,-1.5427237,13.92575,14.358592,12.372297,117194560,,,,,,,
HNT1-USD,15.918466,2021/05/29,19:22 BST,-3.633502,19.622046,19.864185,15.911327,90073144,,,,,,,
YFI-USD,38010.008,2021/05/29,19:21 BST,-3573.207,40925.0,42775.73,38010.008,385223712,,,,,,,
AMP1-USD,0.03343176,2021/05/29,19:22 BST,-0.003866557,0.03645959,0.037128933,0.033120338,3941990,,,,,,,
TFUEL-USD,0.2719379,2021/05/29,19:21 BST,-0.046570808,0.2913804,0.33114767,0.2719379,49334260,,,,,,,
CHZ-USD,0.25773093,2021/05/29,19:21 BST,-0.041964322,0.28844234,0.29369423,0.25677168,270772736,,,,,,,
XEM-USD,0.17012712,2021/05/29,19:21 BST,-0.010756105,0.18079081,0.18844359,0.16948204,108430072,,,,,,,
EGLD-USD,87.03746,2021/05/29,19:22 BST,-12.679886,99.50278,102.52,87.03746,66656392,,,,,,,
CEL-USD,6.7989125,2021/05/29,19:22 BST,0.036340237,6.907351,7.1072335,6.774895,26639408,,,,,,,
DCR-USD,128.76497,2021/05/29,19:22 BST,-14.807205,145.48482,154.68977,128.14496,42267600,,,,,,,
