,TR_POS,symbol,date,weight,action
0,TR_NANO-USD_20180101,NANO-USD,2018-01-01,0.04,OPEN
1,TR_STORJ-USD_20180101,STORJ-USD,2018-01-01,0.04,OPEN
2,TR_NANO-USD_20180102,NANO-USD,2018-01-02,0.04,OPEN
3,TR_RLC-USD_20180102,RLC-USD,2018-01-02,0.04,OPEN
4,TR_TRX-USD_20180103,TRX-USD,2018-01-03,0.04,OPEN
5,TR_XLM-USD_20180103,XLM-USD,2018-01-03,0.04,OPEN
6,TR_STORJ-USD_20180101,STORJ-USD,2018-01-03,0.0,CLOSE
7,TR_SNT-USD_20180104,SNT-USD,2018-01-04,0.04,OPEN
8,TR_XLM-USD_20180104,XLM-USD,2018-01-04,0.04,OPEN
9,TR_NANO-USD_20180101,NANO-USD,2018-01-04,0.0,CLOSE
10,TR_NANO-USD_20180102,NANO-USD,2018-01-04,0.0,CLOSE
11,TR_TRX-USD_20180105,TRX-USD,2018-01-05,0.04,OPEN
12,TR_MANA-USD_20180105,MANA-USD,2018-01-05,0.04,OPEN
13,TR_TRX-USD_20180106,TRX-USD,2018-01-06,0.04,OPEN
14,TR_SC-USD_20180106,SC-USD,2018-01-06,0.04,OPEN
15,TR_XLM-USD_20180103,XLM-USD,2018-01-06,0.0,CLOSE
16,TR_SNT-USD_20180104,SNT-USD,2018-01-06,0.0,CLOSE
17,TR_XLM-USD_20180104,XLM-USD,2018-01-06,0.0,CLOSE
18,TR_BNB-USD_20180107,BNB-USD,2018-01-07,0.04,OPEN
19,TR_SC-USD_20180107,SC-USD,2018-01-07,0.04,OPEN
20,TR_TRX-USD_20180103,TRX-USD,2018-01-07,0.0,CLOSE
21,TR_TRX-USD_20180105,TRX-USD,2018-01-07,0.0,CLOSE
22,TR_MANA-USD_20180105,MANA-USD,2018-01-07,0.0,CLOSE
23,TR_TRX-USD_20180106,TRX-USD,2018-01-07,0.0,CLOSE
24,TR_KNC-USD_20180108,KNC-USD,2018-01-08,0.04,OPEN
25,TR_ZEC-USD_20180108,ZEC-USD,2018-01-08,0.04,OPEN
26,TR_ZRX-USD_20180109,ZRX-USD,2018-01-09,0.04,OPEN
27,TR_ICX-USD_20180109,ICX-USD,2018-01-09,0.04,OPEN
28,TR_SC-USD_20180106,SC-USD,2018-01-09,0.0,CLOSE
29,TR_BNB-USD_20180107,BNB-USD,2018-01-09,0.0,CLOSE
30,TR_SC-USD_20180107,SC-USD,2018-01-09,0.0,CLOSE
31,TR_ZEC-USD_20180108,ZEC-USD,2018-01-09,0.0,CLOSE
32,TR_LRC-USD_20180110,LRC-USD,2018-01-10,0.04,OPEN
33,TR_ZRX-USD_20180110,ZRX-USD,2018-01-10,0.04,OPEN
34,TR_RLC-USD_20180102,RLC-USD,2018-01-10,0.0,CLOSE
35,TR_ZEN-USD_20180111,ZEN-USD,2018-01-11,0.04,OPEN
36,TR_NEO-USD_20180111,NEO-USD,2018-01-11,0.04,OPEN
37,TR_EOS-USD_20180112,EOS-USD,2018-01-12,0.04,OPEN
38,TR_BNB-USD_20180112,BNB-USD,2018-01-12,0.04,OPEN
39,TR_KNC-USD_20180108,KNC-USD,2018-01-12,0.0,CLOSE
40,TR_ZRX-USD_20180109,ZRX-USD,2018-01-12,0.0,CLOSE
41,TR_ICX-USD_20180109,ICX-USD,2018-01-12,0.0,CLOSE
42,TR_LRC-USD_20180110,LRC-USD,2018-01-12,0.0,CLOSE
43,TR_ZRX-USD_20180110,ZRX-USD,2018-01-12,0.0,CLOSE
44,TR_ZEN-USD_20180111,ZEN-USD,2018-01-12,0.0,CLOSE
45,TR_NEO-USD_20180111,NEO-USD,2018-01-12,0.0,CLOSE
46,TR_RLC-USD_20180113,RLC-USD,2018-01-13,0.04,OPEN
47,TR_BNB-USD_20180113,BNB-USD,2018-01-13,0.04,OPEN
48,TR_BCD-USD_20180114,BCD-USD,2018-01-14,0.04,OPEN
49,TR_RLC-USD_20180114,RLC-USD,2018-01-14,0.04,OPEN
50,TR_NEO-USD_20180115,NEO-USD,2018-01-15,0.04,OPEN
51,TR_BCD-USD_20180115,BCD-USD,2018-01-15,0.04,OPEN
